train start... 
steps: 2475, episodes: 100, mean episode reward: -1342.799, reward: -32.011, time: 5.142, TD error: 35.117, c_model: 17.792, actorQ: 1.276, a_model: 1.287
steps: 4975, episodes: 200, mean episode reward: -1320.512, reward: -31.218, time: 5.231, TD error: 34.676, c_model: 17.571, actorQ: 1.271, a_model: 1.269
steps: 7475, episodes: 300, mean episode reward: -1367.74, reward: -32.498, time: 5.265, TD error: 34.753, c_model: 17.609, actorQ: 1.285, a_model: 1.269
steps: 9975, episodes: 400, mean episode reward: -1333.267, reward: -31.196, time: 5.247, TD error: 34.592, c_model: 17.527, actorQ: 1.293, a_model: 1.261
steps: 12475, episodes: 500, mean episode reward: -1424.241, reward: -34.47, time: 5.27, TD error: 34.627, c_model: 17.544, actorQ: 1.312, a_model: 1.256
steps: 14975, episodes: 600, mean episode reward: -1363.78, reward: -33.669, time: 5.231, TD error: 34.686, c_model: 17.574, actorQ: 1.342, a_model: 1.253
steps: 17475, episodes: 700, mean episode reward: -1271.375, reward: -32.143, time: 5.274, TD error: 34.622, c_model: 17.544, actorQ: 1.397, a_model: 1.243
steps: 19975, episodes: 800, mean episode reward: -1259.936, reward: -27.35, time: 5.219, TD error: 34.614, c_model: 17.545, actorQ: 1.459, a_model: 1.236
steps: 22475, episodes: 900, mean episode reward: -1197.857, reward: -25.024, time: 5.236, TD error: 34.352, c_model: 17.421, actorQ: 1.53, a_model: 1.223
steps: 24975, episodes: 1000, mean episode reward: -1208.069, reward: -28.184, time: 5.211, TD error: 34.261, c_model: 17.384, actorQ: 1.614, a_model: 1.213
steps: 27475, episodes: 1100, mean episode reward: -1278.58, reward: -32.162, time: 5.255, TD error: 34.074, c_model: 17.301, actorQ: 1.7, a_model: 1.201
steps: 29975, episodes: 1200, mean episode reward: -1307.042, reward: -32.658, time: 5.253, TD error: 33.856, c_model: 17.203, actorQ: 1.786, a_model: 1.187
steps: 32475, episodes: 1300, mean episode reward: -1334.405, reward: -33.359, time: 5.311, TD error: 33.464, c_model: 17.021, actorQ: 1.894, a_model: 1.169
steps: 34975, episodes: 1400, mean episode reward: -1319.373, reward: -32.181, time: 5.293, TD error: 33.212, c_model: 16.906, actorQ: 1.981, a_model: 1.156
steps: 37475, episodes: 1500, mean episode reward: -1130.463, reward: -25.049, time: 5.236, TD error: 33.01, c_model: 16.815, actorQ: 2.067, a_model: 1.145
steps: 39975, episodes: 1600, mean episode reward: -1168.501, reward: -29.391, time: 5.227, TD error: 32.792, c_model: 16.715, actorQ: 2.149, a_model: 1.133
steps: 42475, episodes: 1700, mean episode reward: -1133.126, reward: -27.866, time: 5.229, TD error: 32.518, c_model: 16.586, actorQ: 2.229, a_model: 1.121
steps: 44975, episodes: 1800, mean episode reward: -952.431, reward: -18.607, time: 5.213, TD error: 32.351, c_model: 16.511, actorQ: 2.308, a_model: 1.109
steps: 47475, episodes: 1900, mean episode reward: -743.49, reward: -11.528, time: 5.323, TD error: 31.989, c_model: 16.339, actorQ: 2.399, a_model: 1.091
steps: 49975, episodes: 2000, mean episode reward: -691.931, reward: -10.281, time: 5.264, TD error: 31.633, c_model: 16.167, actorQ: 2.47, a_model: 1.076
steps: 52475, episodes: 2100, mean episode reward: -663.796, reward: -9.326, time: 5.272, TD error: 31.272, c_model: 15.993, actorQ: 2.539, a_model: 1.061
steps: 54975, episodes: 2200, mean episode reward: -728.881, reward: -10.442, time: 5.217, TD error: 31.054, c_model: 15.889, actorQ: 2.607, a_model: 1.047
steps: 57475, episodes: 2300, mean episode reward: -789.217, reward: -11.796, time: 5.661, TD error: 30.747, c_model: 15.741, actorQ: 2.672, a_model: 1.032
steps: 59975, episodes: 2400, mean episode reward: -960.958, reward: -16.547, time: 5.856, TD error: 30.399, c_model: 15.572, actorQ: 2.736, a_model: 1.016
